location,date,population,new_vaccinations,rolling_vaccinations
Brunei,17/04/2020,437483,NULL,340
Brunei,17/04/2021,437483,NULL,340
Brunei,17/05/2020,437483,NULL,340
Brunei,17/06/2020,437483,NULL,340
Brunei,17/07/2020,437483,NULL,340
Brunei,17/08/2020,437483,NULL,340
Brunei,17/09/2020,437483,NULL,340
Brunei,17/10/2020,437483,NULL,340
Brunei,17/11/2020,437483,NULL,340
Brunei,17/12/2020,437483,NULL,340
Brunei,18/01/2021,437483,NULL,340
Brunei,18/02/2021,437483,NULL,340
Brunei,18/03/2020,437483,NULL,340
Brunei,18/03/2021,437483,NULL,340
Brunei,18/04/2020,437483,NULL,340
Brunei,18/04/2021,437483,NULL,340
Brunei,18/05/2020,437483,NULL,340
Brunei,18/06/2020,437483,NULL,340
Brunei,18/07/2020,437483,NULL,340
Brunei,18/08/2020,437483,NULL,340
Brunei,18/09/2020,437483,NULL,340
Brunei,18/10/2020,437483,NULL,340
Brunei,18/11/2020,437483,NULL,340
Brunei,18/12/2020,437483,NULL,340
Brunei,19/01/2021,437483,NULL,340
Brunei,19/02/2021,437483,NULL,340
Brunei,19/03/2020,437483,NULL,340
Brunei,19/03/2021,437483,NULL,340
Brunei,19/04/2020,437483,NULL,340
Brunei,19/04/2021,437483,NULL,340
Brunei,19/05/2020,437483,NULL,340
Brunei,19/06/2020,437483,NULL,340
Brunei,19/07/2020,437483,NULL,340
Brunei,19/08/2020,437483,NULL,340
Brunei,19/09/2020,437483,NULL,340
Brunei,19/10/2020,437483,NULL,340
Brunei,19/11/2020,437483,NULL,340
Brunei,19/12/2020,437483,NULL,340
Brunei,20/01/2021,437483,NULL,340
Brunei,20/02/2021,437483,NULL,340
Brunei,20/03/2020,437483,NULL,340
Brunei,20/03/2021,437483,NULL,340
Brunei,20/04/2020,437483,NULL,340
Brunei,20/04/2021,437483,NULL,340
Brunei,20/05/2020,437483,NULL,340
Brunei,20/06/2020,437483,NULL,340
Brunei,20/07/2020,437483,NULL,340
Brunei,20/08/2020,437483,NULL,340
Brunei,20/09/2020,437483,NULL,340
Brunei,20/10/2020,437483,NULL,340
Brunei,20/11/2020,437483,NULL,340
Brunei,20/12/2020,437483,NULL,340
Brunei,21/01/2021,437483,NULL,340
Brunei,21/02/2021,437483,NULL,340
Brunei,21/03/2020,437483,NULL,340
Brunei,21/03/2021,437483,NULL,340
Brunei,21/04/2020,437483,NULL,340
Brunei,21/04/2021,437483,NULL,340
Brunei,21/05/2020,437483,NULL,340
Brunei,21/06/2020,437483,NULL,340
Brunei,21/07/2020,437483,NULL,340
Brunei,21/08/2020,437483,NULL,340
Brunei,21/09/2020,437483,NULL,340
Brunei,21/10/2020,437483,NULL,340
Brunei,21/11/2020,437483,NULL,340
Brunei,21/12/2020,437483,NULL,340
Brunei,22/01/2021,437483,NULL,340
Brunei,22/02/2021,437483,NULL,340
Brunei,22/03/2020,437483,NULL,340
Brunei,22/03/2021,437483,NULL,340
Brunei,22/04/2020,437483,NULL,340
Brunei,22/04/2021,437483,NULL,340
Brunei,22/05/2020,437483,NULL,340
Brunei,22/06/2020,437483,NULL,340
Brunei,22/07/2020,437483,NULL,340
Brunei,22/08/2020,437483,NULL,340
Brunei,22/09/2020,437483,NULL,340
Brunei,22/10/2020,437483,NULL,340
Brunei,22/11/2020,437483,NULL,340
Brunei,22/12/2020,437483,NULL,340
Brunei,23/01/2021,437483,NULL,340
Brunei,23/02/2021,437483,NULL,340
Brunei,23/03/2020,437483,NULL,340
Brunei,23/03/2021,437483,NULL,340
Brunei,23/04/2020,437483,NULL,340
Brunei,23/04/2021,437483,NULL,340
Brunei,23/05/2020,437483,NULL,340
Brunei,23/06/2020,437483,NULL,340
Brunei,23/07/2020,437483,NULL,340
Brunei,23/08/2020,437483,NULL,340
Brunei,23/09/2020,437483,NULL,340
Brunei,23/10/2020,437483,NULL,340
Brunei,23/11/2020,437483,NULL,340
Brunei,23/12/2020,437483,NULL,340
Brunei,24/01/2021,437483,NULL,340
Brunei,24/02/2021,437483,NULL,340
Brunei,24/03/2020,437483,NULL,340
Brunei,24/03/2021,437483,NULL,340
Brunei,24/04/2020,437483,NULL,340
Brunei,24/04/2021,437483,NULL,340
Brunei,24/05/2020,437483,NULL,340
Brunei,24/06/2020,437483,NULL,340
Brunei,24/07/2020,437483,NULL,340
Brunei,24/08/2020,437483,NULL,340
Brunei,24/09/2020,437483,NULL,340
Brunei,24/10/2020,437483,NULL,340
Brunei,24/11/2020,437483,NULL,340
Brunei,24/12/2020,437483,NULL,340
Brunei,25/01/2021,437483,NULL,340
Brunei,25/02/2021,437483,NULL,340
Brunei,25/03/2020,437483,NULL,340
Brunei,25/03/2021,437483,NULL,340
Brunei,25/04/2020,437483,NULL,340
Brunei,25/04/2021,437483,NULL,340
Brunei,25/05/2020,437483,NULL,340
Brunei,25/06/2020,437483,NULL,340
Brunei,25/07/2020,437483,NULL,340
Brunei,25/08/2020,437483,NULL,340
Brunei,25/09/2020,437483,NULL,340
Brunei,25/10/2020,437483,NULL,340
Brunei,25/11/2020,437483,NULL,340
Brunei,25/12/2020,437483,NULL,340
Brunei,26/01/2021,437483,NULL,340
Brunei,26/02/2021,437483,NULL,340
Brunei,26/03/2020,437483,NULL,340
Brunei,26/03/2021,437483,NULL,340
Brunei,26/04/2020,437483,NULL,340
Brunei,26/04/2021,437483,NULL,340
Brunei,26/05/2020,437483,NULL,340
Brunei,26/06/2020,437483,NULL,340
Brunei,26/07/2020,437483,NULL,340
Brunei,26/08/2020,437483,NULL,340
Brunei,26/09/2020,437483,NULL,340
Brunei,26/10/2020,437483,NULL,340
Brunei,26/11/2020,437483,NULL,340
Brunei,26/12/2020,437483,NULL,340
Brunei,27/01/2021,437483,NULL,340
Brunei,27/02/2021,437483,NULL,340
Brunei,27/03/2020,437483,NULL,340
Brunei,27/03/2021,437483,NULL,340
Brunei,27/04/2020,437483,NULL,340
Brunei,27/04/2021,437483,NULL,340
Brunei,27/05/2020,437483,NULL,340
Brunei,27/06/2020,437483,NULL,340
Brunei,27/07/2020,437483,NULL,340
Brunei,27/08/2020,437483,NULL,340
Brunei,27/09/2020,437483,NULL,340
Brunei,27/10/2020,437483,NULL,340
Brunei,27/11/2020,437483,NULL,340
Brunei,27/12/2020,437483,NULL,340
Brunei,28/01/2021,437483,NULL,340
Brunei,28/02/2021,437483,NULL,340
Brunei,28/03/2020,437483,NULL,340
Brunei,28/03/2021,437483,NULL,340
Brunei,28/04/2020,437483,NULL,340
Brunei,28/04/2021,437483,NULL,340
Brunei,28/05/2020,437483,NULL,340
Brunei,28/06/2020,437483,NULL,340
Brunei,28/07/2020,437483,NULL,340
Brunei,28/08/2020,437483,NULL,340
Brunei,28/09/2020,437483,NULL,340
Brunei,28/10/2020,437483,NULL,340
Brunei,28/11/2020,437483,NULL,340
Brunei,28/12/2020,437483,NULL,340
Brunei,29/01/2021,437483,NULL,340
Brunei,29/03/2020,437483,NULL,340
Brunei,29/03/2021,437483,NULL,340
Brunei,29/04/2020,437483,NULL,340
Brunei,29/04/2021,437483,NULL,340
Brunei,29/05/2020,437483,NULL,340
Brunei,29/06/2020,437483,NULL,340
Brunei,29/07/2020,437483,NULL,340
Brunei,29/08/2020,437483,NULL,340
Brunei,29/09/2020,437483,NULL,340
Brunei,29/10/2020,437483,NULL,340
Brunei,29/11/2020,437483,NULL,340
Brunei,29/12/2020,437483,NULL,340
Brunei,30/01/2021,437483,NULL,340
Brunei,30/03/2020,437483,NULL,340
Brunei,30/03/2021,437483,NULL,340
Brunei,30/04/2020,437483,NULL,340
Brunei,30/04/2021,437483,NULL,340
Brunei,30/05/2020,437483,NULL,340
Brunei,30/06/2020,437483,NULL,340
Brunei,30/07/2020,437483,NULL,340
Brunei,30/08/2020,437483,NULL,340
Brunei,30/09/2020,437483,NULL,340
Brunei,30/10/2020,437483,NULL,340
Brunei,30/11/2020,437483,NULL,340
Brunei,30/12/2020,437483,NULL,340
Brunei,31/01/2021,437483,NULL,340
Brunei,31/03/2020,437483,NULL,340
Brunei,31/03/2021,437483,NULL,340
Brunei,31/05/2020,437483,NULL,340
Brunei,31/07/2020,437483,NULL,340
Brunei,31/08/2020,437483,NULL,340
Brunei,31/10/2020,437483,NULL,340
Brunei,31/12/2020,437483,NULL,340
Cambodia,01/01/2021,16718971,NULL,NULL
Cambodia,01/02/2020,16718971,NULL,NULL
Cambodia,01/02/2021,16718971,NULL,NULL
Cambodia,01/03/2020,16718971,NULL,NULL
Cambodia,01/03/2021,16718971,NULL,NULL
Cambodia,01/04/2020,16718971,NULL,NULL
Cambodia,01/04/2021,16718971,26082,26082
Cambodia,01/05/2020,16718971,NULL,26082
Cambodia,01/06/2020,16718971,NULL,26082
Cambodia,01/07/2020,16718971,NULL,26082
Cambodia,01/08/2020,16718971,NULL,26082
Cambodia,01/09/2020,16718971,NULL,26082
Cambodia,01/10/2020,16718971,NULL,26082
Cambodia,01/11/2020,16718971,NULL,26082
Cambodia,01/12/2020,16718971,NULL,26082
Cambodia,02/01/2021,16718971,NULL,26082
Cambodia,02/02/2020,16718971,NULL,26082
Cambodia,02/02/2021,16718971,NULL,26082
Cambodia,02/03/2020,16718971,NULL,26082
Cambodia,02/03/2021,16718971,27214,53296
Cambodia,02/04/2020,16718971,NULL,53296
Cambodia,02/04/2021,16718971,49334,102630
Cambodia,02/05/2020,16718971,NULL,102630
Cambodia,02/06/2020,16718971,NULL,102630
Cambodia,02/07/2020,16718971,NULL,102630
Cambodia,02/08/2020,16718971,NULL,102630
Cambodia,02/09/2020,16718971,NULL,102630
Cambodia,02/10/2020,16718971,NULL,102630
Cambodia,02/11/2020,16718971,NULL,102630
Cambodia,02/12/2020,16718971,NULL,102630
Cambodia,03/01/2021,16718971,NULL,102630
Cambodia,03/02/2020,16718971,NULL,102630
Cambodia,03/02/2021,16718971,NULL,102630
Cambodia,03/03/2020,16718971,NULL,102630
Cambodia,03/03/2021,16718971,21260,123890
Cambodia,03/04/2020,16718971,NULL,123890
Cambodia,03/04/2021,16718971,56333,180223
Cambodia,03/05/2020,16718971,NULL,180223
Cambodia,03/06/2020,16718971,NULL,180223
Cambodia,03/07/2020,16718971,NULL,180223
Cambodia,03/08/2020,16718971,NULL,180223
Cambodia,03/09/2020,16718971,NULL,180223
Cambodia,03/10/2020,16718971,NULL,180223
Cambodia,03/11/2020,16718971,NULL,180223
Cambodia,03/12/2020,16718971,NULL,180223
Cambodia,04/01/2021,16718971,NULL,180223
Cambodia,04/02/2020,16718971,NULL,180223
Cambodia,04/02/2021,16718971,NULL,180223
Cambodia,04/03/2020,16718971,NULL,180223
Cambodia,04/03/2021,16718971,15688,195911
Cambodia,04/04/2020,16718971,NULL,195911
Cambodia,04/04/2021,16718971,52517,248428
Cambodia,04/05/2020,16718971,NULL,248428
Cambodia,04/06/2020,16718971,NULL,248428
Cambodia,04/07/2020,16718971,NULL,248428
Cambodia,04/08/2020,16718971,NULL,248428
Cambodia,04/09/2020,16718971,NULL,248428
Cambodia,04/10/2020,16718971,NULL,248428
Cambodia,04/11/2020,16718971,NULL,248428
Cambodia,04/12/2020,16718971,NULL,248428
Cambodia,05/01/2021,16718971,NULL,248428
Cambodia,05/02/2020,16718971,NULL,248428
Cambodia,05/02/2021,16718971,NULL,248428
Cambodia,05/03/2020,16718971,NULL,248428
Cambodia,05/03/2021,16718971,16542,264970
Cambodia,05/04/2020,16718971,NULL,264970
Cambodia,05/04/2021,16718971,56493,321463
Cambodia,05/05/2020,16718971,NULL,321463
Cambodia,05/06/2020,16718971,NULL,321463
Cambodia,05/07/2020,16718971,NULL,321463
Cambodia,05/08/2020,16718971,NULL,321463
Cambodia,05/09/2020,16718971,NULL,321463
Cambodia,05/10/2020,16718971,NULL,321463
Cambodia,05/11/2020,16718971,NULL,321463
Cambodia,05/12/2020,16718971,NULL,321463
Cambodia,06/01/2021,16718971,NULL,321463
Cambodia,06/02/2020,16718971,NULL,321463
Cambodia,06/02/2021,16718971,NULL,321463
Cambodia,06/03/2020,16718971,NULL,321463
Cambodia,06/03/2021,16718971,11137,332600
Cambodia,06/04/2020,16718971,NULL,332600
Cambodia,06/04/2021,16718971,59191,391791
Cambodia,06/05/2020,16718971,NULL,391791
Cambodia,06/06/2020,16718971,NULL,391791
Cambodia,06/07/2020,16718971,NULL,391791
Cambodia,06/08/2020,16718971,NULL,391791
Cambodia,06/09/2020,16718971,NULL,391791
Cambodia,06/10/2020,16718971,NULL,391791
Cambodia,06/11/2020,16718971,NULL,391791
Cambodia,06/12/2020,16718971,NULL,391791
Cambodia,07/01/2021,16718971,NULL,391791
Cambodia,07/02/2020,16718971,NULL,391791
Cambodia,07/02/2021,16718971,NULL,391791
Cambodia,07/03/2020,16718971,NULL,391791
Cambodia,07/03/2021,16718971,6142,397933
Cambodia,07/04/2020,16718971,NULL,397933
Cambodia,07/04/2021,16718971,65934,463867
Cambodia,07/05/2020,16718971,NULL,463867
Cambodia,07/06/2020,16718971,NULL,463867
Cambodia,07/07/2020,16718971,NULL,463867
Cambodia,07/08/2020,16718971,NULL,463867
Cambodia,07/09/2020,16718971,NULL,463867
Cambodia,07/10/2020,16718971,NULL,463867
Cambodia,07/11/2020,16718971,NULL,463867
Cambodia,07/12/2020,16718971,NULL,463867
Cambodia,08/01/2021,16718971,NULL,463867
Cambodia,08/02/2020,16718971,NULL,463867
Cambodia,08/02/2021,16718971,NULL,463867
Cambodia,08/03/2020,16718971,NULL,463867
Cambodia,08/03/2021,16718971,13584,477451
Cambodia,08/04/2020,16718971,NULL,477451
Cambodia,08/04/2021,16718971,59611,537062
Cambodia,08/05/2020,16718971,NULL,537062
Cambodia,08/06/2020,16718971,NULL,537062
Cambodia,08/07/2020,16718971,NULL,537062
Cambodia,08/08/2020,16718971,NULL,537062
Cambodia,08/09/2020,16718971,NULL,537062
Cambodia,08/10/2020,16718971,NULL,537062
Cambodia,08/11/2020,16718971,NULL,537062
Cambodia,08/12/2020,16718971,NULL,537062
Cambodia,09/01/2021,16718971,NULL,537062
Cambodia,09/02/2020,16718971,NULL,537062
Cambodia,09/02/2021,16718971,NULL,537062
Cambodia,09/03/2020,16718971,NULL,537062
Cambodia,09/03/2021,16718971,23036,560098
Cambodia,09/04/2020,16718971,NULL,560098
Cambodia,09/04/2021,16718971,102775,662873
Cambodia,09/05/2020,16718971,NULL,662873
Cambodia,09/06/2020,16718971,NULL,662873
Cambodia,09/07/2020,16718971,NULL,662873
Cambodia,09/08/2020,16718971,NULL,662873
Cambodia,09/09/2020,16718971,NULL,662873
Cambodia,09/10/2020,16718971,NULL,662873
Cambodia,09/11/2020,16718971,NULL,662873
Cambodia,09/12/2020,16718971,NULL,662873
Cambodia,10/01/2021,16718971,NULL,662873
Cambodia,10/02/2020,16718971,NULL,662873
Cambodia,10/02/2021,16718971,1492,664365
Cambodia,10/03/2020,16718971,NULL,664365
Cambodia,10/03/2021,16718971,32418,696783
Cambodia,10/04/2020,16718971,NULL,696783
Cambodia,10/04/2021,16718971,63953,760736
Cambodia,10/05/2020,16718971,NULL,760736
Cambodia,10/06/2020,16718971,NULL,760736
Cambodia,10/07/2020,16718971,NULL,760736
Cambodia,10/08/2020,16718971,NULL,760736
Cambodia,10/09/2020,16718971,NULL,760736
Cambodia,10/10/2020,16718971,NULL,760736
Cambodia,10/11/2020,16718971,NULL,760736
Cambodia,10/12/2020,16718971,NULL,760736
Cambodia,11/01/2021,16718971,NULL,760736
Cambodia,11/02/2020,16718971,NULL,760736
Cambodia,11/02/2021,16718971,NULL,760736
Cambodia,11/03/2020,16718971,NULL,760736
Cambodia,11/03/2021,16718971,30804,791540
Cambodia,11/04/2020,16718971,NULL,791540
Cambodia,11/04/2021,16718971,48597,840137
Cambodia,11/05/2020,16718971,NULL,840137
Cambodia,11/06/2020,16718971,NULL,840137
Cambodia,11/07/2020,16718971,NULL,840137
Cambodia,11/08/2020,16718971,NULL,840137
Cambodia,11/09/2020,16718971,NULL,840137
Cambodia,11/10/2020,16718971,NULL,840137
Cambodia,11/11/2020,16718971,NULL,840137
Cambodia,11/12/2020,16718971,NULL,840137
Cambodia,12/01/2021,16718971,NULL,840137
Cambodia,12/02/2020,16718971,NULL,840137
Cambodia,12/02/2021,16718971,NULL,840137
Cambodia,12/03/2020,16718971,NULL,840137
Cambodia,12/03/2021,16718971,23279,863416
Cambodia,12/04/2020,16718971,NULL,863416
Cambodia,12/04/2021,16718971,84951,948367
Cambodia,12/05/2020,16718971,NULL,948367
Cambodia,12/06/2020,16718971,NULL,948367
Cambodia,12/07/2020,16718971,NULL,948367
Cambodia,12/08/2020,16718971,NULL,948367
Cambodia,12/09/2020,16718971,NULL,948367
Cambodia,12/10/2020,16718971,NULL,948367
Cambodia,12/11/2020,16718971,NULL,948367
Cambodia,12/12/2020,16718971,NULL,948367
Cambodia,13/01/2021,16718971,NULL,948367
Cambodia,13/02/2020,16718971,NULL,948367
Cambodia,13/02/2021,16718971,NULL,948367
Cambodia,13/03/2020,16718971,NULL,948367
Cambodia,13/03/2021,16718971,19077,967444
Cambodia,13/04/2020,16718971,NULL,967444
Cambodia,13/04/2021,16718971,74921,1042365
Cambodia,13/05/2020,16718971,NULL,1042365
Cambodia,13/06/2020,16718971,NULL,1042365
Cambodia,13/07/2020,16718971,NULL,1042365
Cambodia,13/08/2020,16718971,NULL,1042365
Cambodia,13/09/2020,16718971,NULL,1042365
Cambodia,13/10/2020,16718971,NULL,1042365
Cambodia,13/11/2020,16718971,NULL,1042365
Cambodia,13/12/2020,16718971,NULL,1042365
Cambodia,14/01/2021,16718971,NULL,1042365
Cambodia,14/02/2020,16718971,NULL,1042365
Cambodia,14/02/2021,16718971,NULL,1042365
Cambodia,14/03/2020,16718971,NULL,1042365
Cambodia,14/03/2021,16718971,9650,1052015
Cambodia,14/04/2020,16718971,NULL,1052015
Cambodia,14/04/2021,16718971,35666,1087681
